exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
F042-20230511_164711_proc,CA1100L1,NaCl,F042,20230511,164711,-0.040714761787583,-1.90745184234699,-3.39308423016064,-1.66533446518446,-4.09426849092245,-0.504958925659545,ok,24.4,41,2369,3.39775748007021,1,CA1100,E
F042-20230511_174329_proc,CA1100L105,NaCl,F042,20230511,174329,-0.248712092601882,-2.48883509184869,-2.78971954811044,-1.24740168710539,-4.68631167606675,-0.853982814238424,ok,24.3,40,2370,4.07668173626517,45,CA1100,E
F042-20230511_180427_proc,CA1100L105,NaCl,F042,20230511,180427,0.315862714674686,-1.97636838968165,-2.66869127722461,-1.02983968557298,-4.1311165449186,-0.416480128261666,ok,24.4,39,2371,3.30381164520493,108,CA1100,E
F042-20230511_182520_proc,CA1100L40,NGM,F042,20230511,182520,-1.01588722844636,-1.46049659062038,-2.72089309293134,-1.08921878851568,-3.6878724370582,-2.51979975339695,ok,24.4,38,2372,5.28915665856695,40,CA1100,E
F042-20230511_184556_proc,CA1100L105,NGM,F042,20230511,184556,-0.782880607279034,-2.00084183845254,-2.70167879093987,-1.35473457006898,-3.50464515992836,-1.79601819865648,ok,24.4,38,2373,5.10305788100338,102,CA1100,E
F042-20230511_192948_proc,CA1100L44,NGM,F042,20230511,192948,-0.719282061100621,-2.060169823554,-3.47054536200501,-1.89000652305123,-3.92204594121212,-1.23043968567705,ok,24.3,38,2374,5.01657057678859,44,CA1100,E
F042-20230511_195037_proc,CA1100L40,NaCl,F042,20230511,195037,-0.338865926356278,-2.097358801643,-3.09817695233203,-1.43865903162632,-4.55320131336625,-1.25692714970573,ok,24.4,38,2375,4.73221987518643,40,CA1100,E
F043-20230512_094648_proc,CA1100L120CeMee,NGM,F043,20230512,94648,0.0667769779191762,-1.3308744769042,-3.6829568247493,-2.27930623798396,-2.94267637048757,-0.178106252941538,ok,26,36,2376,3.67835846595078,48,CA1100,E
F043-20230512_100808_proc,CA1100L59,NGM,F043,20230512,100808,-0.428963763469845,-1.36606718082934,-3.80342502632821,-2.44108216859519,-2.98397571123471,-0.913131072449463,ok,24.8,36,2377,5.10492387170915,59,CA1100,E
F043-20230512_111559_proc,CA1100L80,NGM,F043,20230512,111559,-0.409058706950018,-2.51603023196796,-2.65039544211931,-1.50403108445058,-4.17541554192308,-1.27511067299222,ok,23.4,40,2378,4.9478624132798,80,CA1100,E
F043-20230512_113714_proc,CA1100L68,NGM,F043,20230512,113714,-0.621922349860924,-2.84313603365617,-2.9035591233086,-1.56123083131488,-3.86974530694928,-1.03170805162686,ok,23.9,41,2379,4.38687014266184,68,CA1100,E
F043-20230512_122124_proc,CA1100L70,NaCl,F043,20230512,122124,0.520368829894327,-2.2177990058341,-2.40369228926817,-1.48373915527532,-3.26295697253599,0.172741387711796,ok,24.7,42,2380,2.2944264274238,70,CA1100,E
F043-20230512_124246_proc,CA1100L15CeMee,NaCl,F043,20230512,124246,0.337305260691253,-2.13094553628521,-2.91452169464996,-1.17659918862315,-4.19029394323995,-0.0810833769536469,ok,24.8,42,2381,3.04172999984312,48,CA1100,E
F043-20230512_134816_proc,CA1100L69,NaCl,F043,20230512,134816,2.4019098718972,0.834941059486123,-1.34284821614364,-1.19578850684273,0.664076897528853,2.07109753604142,ok,25.1,43,2384,-2.59285108028826,69,CA1100,E
F043-20230512_140943_proc,CA1100L68,NaCl,F043,20230512,140943,0.552560316972959,-0.73891657066136,-3.16194172884015,-1.75928728370139,-2.21780959692466,0.366555244515298,ok,25.2,43,2385,1.96384090464257,68,CA1100,E
F043-20230512_145209_proc,CA1100L56,NGM,F043,20230512,145209,-0.131302853119989,-1.48805826713493,-4.01350704977542,-2.4018547077668,-3.41927435868308,-0.763441455494153,ok,25,43,2386,4.08827561681166,56,CA1100,E
F043-20230512_151340_proc,CA1100L15CeMee,NaCl,F043,20230512,151340,0.515600715877808,-1.30501023538482,-2.56480275570329,-1.12299248282866,-2.67092097592565,0.254655521436957,ok,25,43,2387,1.13136979757924,76,CA1100,E
F043-20230512_153439_proc,CA1100L59,NaCl,F043,20230512,153439,-0.217592972236567,-2.03501921342627,-2.96899218700466,-1.40112566100549,-4.29366523704426,-0.741750047019864,ok,24.9,43,2388,3.93022349800763,59,CA1100,E
F043-20230512_155939_proc,CA1100L81,NGM,F043,20230512,155939,0.0313027994177178,-2.2206432962617,-3.43429897975997,-2.20474630976685,-3.71775287390013,-0.377364060810603,ok,24.8,43,2389,3.73873427903738,81,CA1100,E
F043-20230512_162114_proc,CA1100L52,NGM,F043,20230512,162114,-0.801738402062025,-1.90608766520198,-2.82466103633861,-1.35720569686913,-3.7602820369288,-1.64355842142032,ok,24.7,44,2390,5.23456099719833,52,CA1100,E
F043-20230512_172431_proc,CA1100L52,NaCl,F043,20230512,172431,-0.182374714431714,-1.93863883241616,-2.90666178741659,-1.09519319712833,-4.26877487531768,-0.643560953846207,ok,24.5,45,2392,3.51877792432073,52,CA1100,E
F044-20230515_122915_proc,CA1100L99,NGM,F044,20230515,122915,-0.540153518174971,-2.38741280546723,-3.38468012064658,-2.30652655923088,-3.91551289404928,-1.25946383440354,ok,24.2,44,2393,4.98693637636595,99,CA1100,E
F044-20230515_125017_proc,CA2100L35,NGM,F044,20230515,125017,-0.824966874227995,-2.19796452508559,-2.86264522197949,-1.61969333161281,-3.63120045225219,-1.81306641195996,ok,24.2,44,2394,5.15942334481804,35,CA2100,E
F044-20230515_131135_proc,CA1100L82,NGM,F044,20230515,131135,-0.406758913794457,-2.18011808525734,-3.04168497356006,-2.15270335747246,-3.62447164000062,-1.2458253386706,ok,24.2,45,2395,4.79370640085845,82,CA1100,E
F044-20230515_133253_proc,CA1100L4,NGM,F044,20230515,133253,-1.24619646130951,-1.92066990813236,-3.11497947518418,-1.38738470297165,-3.97416863035869,-2.30062781275905,ok,24.3,45,2396,5.34899951778881,88,CA1100,E
F044-20230515_150409_proc,CA1100L9,NGM,F044,20230515,150409,-0.538422508743247,-3.141900333683,-2.87892764863246,-1.82760401365649,-4.37714672019108,-1.37589474325869,ok,24.4,47,2399,5.18695615830144,9,CA1100,E
F044-20230515_152512_proc,CA1100L36,NaCl,F044,20230515,152512,0.312966771079363,-1.96783237612988,-3.6521192624121,-2.90447570845522,-2.94467374797915,0.0947242195198418,ok,24.2,47,2400,3.10492423860809,88,CA1100,E
F044-20230515_160918_proc,CA2100L87,NGM,F044,20230515,160918,-0.513050941395001,-2.35146080866704,-2.72472098149734,-1.81425149130398,-3.20056892400844,-0.991806609397775,ok,24,47,2402,5.16800099218768,87,CA2100,E
F044-20230515_165230_proc,CA1100L96,NGM,F044,20230515,165230,-0.0794751840611911,-1.18836027311771,-3.97895726002704,-2.43989426351475,-2.96264332169022,-0.427015371637458,ok,24,47,2403,4.5829493521282,96,CA1100,E
F044-20230515_180719_proc,CA1100L86,NGM,F044,20230515,180719,-0.540576836350767,-2.41011714254553,-2.73425835406097,-1.50089955657597,-3.85588556579014,-1.39818418754572,ok,24.2,48,2406,5.19437738156375,86,CA1100,E
F044-20230515_182801_proc,CA2100L88,NaCl,F044,20230515,182801,-0.0986702005928578,-2.70258747875288,-2.91228930012581,-1.35010968336397,-4.33985172279218,-0.272889484370827,ok,24.2,48,2407,4.26330618897733,88,CA2100,E
F044-20230515_191216_proc,CA1100L99,NaCl,F044,20230515,191216,-0.0224347256392632,-2.45507720927114,-2.70180586994504,-1.50589710862924,-3.96803055326488,-0.378524951565232,ok,24.2,49,2408,3.9202175381985,99,CA1100,E
F044-20230515_193301_proc,CA1100L97,NGM,F044,20230515,193301,-0.51972963025711,-2.20689270420894,-2.76515409482238,-1.29976285929308,-3.62435416328088,-1.40119757213569,ok,24.1,49,2409,5.24031998640005,97,CA1100,E
F045-20230516_105427_proc,CA2100L9,NGM,F045,20230516,105427,-1.50524738199214,-1.33593729307119,-2.402927131849,-0.00135939798311988,-4.56138680006465,-3.83112496732883,ok,24.2,38,2410,5.40684956810203,9,CA2100,E
F045-20230516_111537_proc,CA1100L68,NGM,F045,20230516,111537,-0.764428270231755,-2.08529150848119,-2.82499867852331,-1.35882559985659,-3.4851264792204,-1.52958557686732,ok,24.2,38,2411,4.91861014173822,68,CA1100,E
F045-20230516_113621_proc,CA3100L119,NGM,F045,20230516,113621,-0.97453397922337,-1.94350788349316,-2.42464212956139,-1.24809811573753,-3.91227572497358,-2.38125775028711,ok,24.2,38,2412,5.11117028295923,119,CA3100,E
F045-20230516_115741_proc,CA3100L43,NGM,F045,20230516,115741,-0.717916808281675,-2.25756685262987,-2.65121881779923,-1.2583224004286,-3.74960476548858,-1.50404417866555,ok,24.2,38,2413,5.28082670853294,43,CA3100,E
F045-20230516_124338_proc,CA3100L51,NGM,F045,20230516,124338,-0.54743632149365,-1.84515046935861,-3.40117399698242,-1.65985514105023,-3.95277688671859,-0.994179586237042,ok,24.2,38,2414,5.23731163425378,51,CA3100,E
